text,neutral,positive,negative,compound,Sentiment
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt dharwad_iiit inauguration dedication indian institute information technology dharwad campus nation smt droupa ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt indiahistorypic 1962 first convocation indian institute technology iit bombay engineersday photo ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt airnewsalerts president droupadimurmu inaugurates new campus indian institute information technology dharwad karnataka ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt airnewsalerts president droupadimurmu inaugurates new campus indian institute information technology dharwad karnataka ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt airnewsalerts president droupadimurmu inaugurates new campus indian institute information technology dharwad karnataka ,0.0,1.0,0.0,0.0,Neutral
rt airnewsalerts president droupadimurmu inaugurates new campus indian institute information technology dharwad karnataka ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
president droupadi murmu inaugurated new campus indian institute information technology dharwad dh ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt airnewsalerts president droupadimurmu inaugurates new campus indian institute information technology dharwad karnataka ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
president droupadimurmu inaugurates new campus indian institute information technology dharwad karnat ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt mord_goi cell filled concrete effectively utilizes waste plastic amp reuses combination concrete technology developed i ,0.142,0.711,0.147,0.0258,Neutral
rt airnewsalerts president droupadimurmu inaugurates new campus indian institute information technology dharwad karnataka ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
on day attend felicitation function poura sanmana organized hubli dharwad municipal ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
civil engineering student association cesa nit srinagar organising guest lecture titled alternate oppor ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt airnewsalerts president droupadimurmu inaugurates new campus indian institute information technology dharwad karnataka ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt thenewindian_in president droupadi murmu inaugurate new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
president droupadi murmu inaugurate new campus indian institute information technology dharwad dharwad today ,0.0,1.0,0.0,0.0,Neutral
rt dharwad_iiit inauguration dedication indian institute information technology dharwad campus nation smt droupa ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt drsubhassarkar chaired review meeting atal bihari vajpayee indian institute information technology management gwalior ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt drsubhassarkar chaired review meeting atal bihari vajpayee indian institute information technology management gwalior ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt jkambika infront something kerala still indian institute technology guwahati ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rashtrapatibhvn droupadi murmu inaugurates indian institute information technology iiit dharwad governor ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt thecorraichur official blueprint of indian institute of information technology raichur iiitr raichur karnataka iiit kalaburagi b ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
